what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370068727705
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1370068728896
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370068729853
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370068730987
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370068731207
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370068732505
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370068734076
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370068734251
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370068734531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370068734622
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370068750657
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370068800806
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1370068803814
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1370068806828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370068808160
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370068873794
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1370068874858
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370068875358
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370068997507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1370068998616
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370068999042
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370069010544
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1370069011819
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370069012865
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370069013854
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370069014077
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370069015188
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370069016100
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370069016340
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1370069301628
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1370069305120
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1370069306759
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1370069306969
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1370069307130
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1370069309477
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370069311035
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1370069313494
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1370069405080
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1370069405863
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1370069406088
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1370069406222
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370069407882
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370069409521
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370069409602
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370147075265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370147077673
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370147078763
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370147078974
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370147080170
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370147081133
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370147081293
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1370147081535
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370147089581
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370147103262
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370147107307
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1370147108064
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1370147109320
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370147110695
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1370147111058
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1370147114826
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370147116344
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370147117469
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1370147121936
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370147217680
