what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369779317980
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369779417551
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369779418478
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369779419452
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1369779419623
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369779420805
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369779422021
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369779422183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369779422399
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1369779422466
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369779442077
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369797174760
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1369797179987
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369797505296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369797509706
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Commit",1369797509775
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.SimplePush",1369797514394
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369797514826
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369797521962
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369797522696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369797552829
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369797554495
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369797700386
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1369797701070
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369797701938
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369797705337
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1369797705549
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.navigate.open.type",1369797705605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369797749946
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369797754832
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1369797755013
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1369797755013
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1369797776472
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1369797783001
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1369797796410
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1369797798085
closed,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1369797798085
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1369797799089
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1369797800169
started,bundle,org.eclipse.dltk.core.manipulation,3.0.0.v20110609-1525,"org.eclipse.dltk.core.manipulation",1369797802452
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369797802493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369797808995
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1369797809244
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.AddToIndex",1369797817045
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1369797820820
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1369797820934
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1369797826169
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1369797831240
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1369797831402
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.add.block.comment",1369797832666
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1369797833169
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1369797836860
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1369797843449
executed,command,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.nextSibling",1369797844365
executed,command,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.nextSibling",1369797845091
executed,command,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.nextSibling",1369797848768
