what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369601776353
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369601786066
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Commit",1369601786140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369601786469
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369601786872
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.SimplePush",1369601791838
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369601792127
started,bundle,org.eclipse.equinox.security.ui,1.1.0.v20101004,"org.eclipse.equinox.security.ui",1369601792391
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369601805637
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369601805886
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369601977213
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369601978901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369602282353
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1369602285251
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1369602286470
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1369602291582
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1369602291941
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369602292871
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369602294823
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1369602305581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369602306310
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369602312304
