what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1369624833567
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1369624845004
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369624881876
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369624885173
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1369624885335
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1369624885384
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369624891942
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369624894321
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1369624894478
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1369624894479
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1369624899505
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1369624919048
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1369624942391
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369624946927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369624951206
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Commit",1369624951275
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.AddToIndex",1369624963796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369624968479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369624972782
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Commit",1369624972851
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369624973348
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369624973442
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.SimplePush",1369624976883
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369624977324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369624987064
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369624987637
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369624988539
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369624994511
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369625009536
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1369625009632
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1369625009632
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369625015985
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369625134605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369625136539
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369625197661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369625198890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369625237983
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369625511724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629124777
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629127955
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629310893
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629312900
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629314697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629314838
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629315106
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1369629315172
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1369629317193
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1369629322110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629323012
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629325364
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1369629325527
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1369629325674
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1369629325675
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1369629331486
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1369629332205
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629333966
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1369629334028
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629337057
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629338616
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1369629338670
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629341403
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1369629463182
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629468989
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629475642
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Commit",1369629475743
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629476271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629476379
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.SimplePush",1369629480843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629481342
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629487028
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629487922
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629489339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369629516722
