what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1369606274171
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1369606274171
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1369606281720
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1369606351316
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1369606355747
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1369606358874
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369606505334
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369606545749
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1369606548157
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1369606596476
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369606604857
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369606613839
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1369606618616
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1369606621405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369606622643
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369606627165
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1369606628941
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1369606629562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1369606629996
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1369606632661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369606641642
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369606646134
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1369606652140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369606658979
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369606660532
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1369606661318
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1369606661878
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1369606685126
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1369606691136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1369606717828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369606730286
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369606745461
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1369606750830
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1369606754999
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1369606758105
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1369606788574
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1369606788908
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369606803131
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369606818403
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1369606845288
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1369606848587
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369606869276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369606891284
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369606895448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369606896530
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1369606898764
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1369606899847
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1369606901842
