what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370064228940
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064268197
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064559327
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064561592
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064562678
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370064562843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064563960
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064564939
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370064565138
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064581331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064615985
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064617510
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064620312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064621941
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064671115
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064673090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064674180
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370064674336
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064675683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064676529
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370064676718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064700208
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064764389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064766440
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064767486
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370064767613
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064768744
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064770135
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064770299
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064770596
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370064770643
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064771617
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064772926
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064773065
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064773356
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370064773405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064795274
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064817933
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1370064818577
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064819380
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370064821230
